"","SKA03_16","SKA03_19","SKA03_20","SKA03_41","SKA03_43","SKA03_45"
"SUSD4",9.97088294448882,13.654308873042,4.54513558013414,8.3552691477323,10.5898197449317,11.0137628589025
"CAPN8",111.673888978275,76.2365578744846,70.4496014920792,62.6645186079922,63.5389184695904,64.0800748154329
"LOC105373281",1.99417658889776,0,3.0300903867561,0,0,4.00500467596456
"CAPN2",6498.02441492336,9496.57182120073,9889.45749977521,9940.6814685145,10633.238005886,12307.3793692391
"LOC105373046",9.97088294448882,0,12.1203615470244,0,1.05898197449317,8.01000935192911
"LOC105373041",1.99417658889776,4.55143629101401,3.78761298344512,0,6.35389184695904,0
"TP53BP2",1335.10122626705,1346.08728306739,1607.46295017411,1430.83984154916,1796.03342874042,1873.34093718242
"ACTBP11",3.98835317779553,0,6.06018077351219,0,0,0
"SEPTIN14P15",0,0,0,0,4.23592789797269,0
"GTF2IP20",55.8369444891374,13.654308873042,34.8460394476951,37.5987111647953,38.1233510817542,24.0300280557873
"LOC100287497",24.927207361222,21.6193223823165,18.1805423205366,8.3552691477323,1.05898197449317,8.01000935192911
"LOC105373056",0,0,0,0,0,0
"FBXO28",795.676458970208,1021.79744733264,955.993517021548,1068.43004226627,1253.83465779992,1329.66155242023
"LOC724084",69.7961806114217,86.4772895292662,74.2372144755243,75.1974223295907,76.2467021635085,140.175163658759
"DEGS1",1931.36002634748,2423.63982496496,2267.26513189025,2081.50642642881,2065.01485026169,2156.69501800691
"LOC101927143",0,0,4.54513558013414,0,0,1.00125116899114
"LOC101927164",0.997088294448882,0,4.54513558013414,0,0,0
"NVL",424.759613435224,494.968696647773,449.210899836591,551.447763750332,491.367636164832,519.649356706401
"MIR320B2",0,3.41357721826051,0,2.08881728693307,0,0
"CNIH4",2190.60298290419,1754.5786901859,1665.03466752247,1890.37964467443,1467.74901664754,1361.70158982795
"WDR26",1763.84919288007,2018.56199506471,2093.03493465177,2058.52943627254,2330.81932585947,2328.91021907339
"CNIH3",4.98544147224441,1.1378590727535,9.09027116026829,11.4884950781319,11.6488017194249,6.00750701394683
"DNAH14",434.730496379713,446.040756519373,462.088783980305,390.608832656485,342.051177761295,429.536751497198
"LBR",1992.18241230887,2109.59072088499,2059.70394039746,2512.84719618049,2805.24325043242,2849.56082694878
"LINC02765",1.99417658889776,0,1.51504519337805,0,0,0
"ENAH",2903.52111343514,1934.36042368095,2414.22451564792,2075.23997456801,2388.0043524821,2472.08913623912
"LOC102723834",1.99417658889776,0,0,0,2.11796394898635,4.00500467596456
"SRP9",5086.14738998375,5070.30002818961,4768.6047461574,6048.17045431472,5265.25837718006,5243.55237200659
"LEFTY3",0.997088294448882,4.55143629101401,0,0,0,0
"EPHX1",1235.39239682216,1318.77866532131,1263.54769127729,1424.57338968836,1329.02237798893,1312.64028254738
"TMEM63A",1117.7359780772,1347.22514214015,1159.7670955309,1494.54876880061,1821.44899612826,1760.19955508642
"LEFTY1",0,0,0,0,0,4.00500467596456
"PYCR2",1734.93363234105,1742.06224038561,1847.59761332453,2070.01793135068,2018.41964338399,2071.58866864267
"SDE2",574.322857602556,869.324331583676,762.067732269158,854.326270355627,1053.68706462071,829.035967924663
"H3-3A",4799.98304947692,5170.43162659191,4417.1142612937,5349.4610718356,4868.14013674512,4722.9017641312
"LINC01703",1.99417658889776,17.0678860913025,3.78761298344512,2.08881728693307,0,4.00500467596456
"ACBD3",1905.43573069181,1453.04603590622,1817.29670945697,1558.25769605207,1635.06816861746,1405.75664126356
"ACBD3-AS1",0,0,0,0,0,0
"MIXL1",0,2.275718145507,0,0,0,0
"LIN9",323.056607401438,319.738399443734,309.826742045811,361.365390639422,424.651771771762,372.465434864704
"PARP1",7750.36731275116,7524.66204811891,7968.38019457184,8541.17388626934,8839.32254109451,8434.53984758135
"CDKN2AIPNLP1",1.99417658889776,4.55143629101401,3.0300903867561,2.08881728693307,0,0
"STUM",1.99417658889776,0,0,2.08881728693307,0,6.00750701394683
"ITPKB",21.9359424778754,20.481463309563,30.300903867561,25.0658074431969,21.1796394898635,14.0175163658759
"LOC105373119",0,0,0,0,0,0
"PSEN2",408.806200724042,483.590105920238,447.695854643213,397.919693160751,373.82063699609,463.579291242897
"LOC107985354",3.98835317779553,0,0,0,0,0
"COQ8A",705.938512469808,712.299779543692,593.897715804195,861.637130859893,722.225706604344,740.925865053443
"CDC42BPA",1347.06628580044,846.567150128606,1257.48751050378,1146.76069052626,1423.27177371882,1459.82420438908
"LOC100271842",5.98252976669329,0,0,0,0,4.00500467596456
"ZNF678",205.40018865647,138.818806875927,168.170016464963,190.08237311091,258.391601776334,242.302782895856
"SNAP47",799.664812148003,777.157746690642,766.612867849292,807.327881399633,826.005940104675,651.814511013231
"JMJD4",490.56744086885,380.04493029967,414.364860388896,298.70087203143,256.273637827348,271.339066796599
"LOC105373289",0,0,0,0,0,0
"WNT9A",17.9475893000799,34.1357721826051,51.5115365748536,22.9769901562638,33.8874231837815,36.045042083681
"WNT3A",0,0,3.0300903867561,4.17763457386615,0,0
"LINC02809",11.9650595333866,2.275718145507,0,0,0,0
"ARF1",9758.50313777121,12048.7897213868,11103.7662222677,10997.6230157026,11271.8041365053,10970.7090586359
"C1orf35",2356.11963978271,1014.97029289612,1633.21871846154,1042.3198261796,712.694868833905,849.060991304486
"MRPL55",1485.66155872883,981.972379786272,1022.65550553018,1004.72111501481,859.893363288456,759.949637264274
"FAM96AP2",1.99417658889776,0,1.51504519337805,0,0,2.00250233798228
"GUK1",1937.34255611418,1646.48207827432,1596.85763382046,1570.79059977367,1094.98736162594,1053.31622977868
"GJC2",1.99417658889776,2.275718145507,10.6053163536463,2.08881728693307,2.11796394898635,10.0125116899114
"IBA57-DT",1.99417658889776,0,0,0,0,0
"IBA57",1776.81134070791,1661.27424622011,1762.75508249536,1447.55037984462,1438.09752136173,1379.72411086979
"OBSCN-AS1",0,0,1.51504519337805,2.08881728693307,0,1.00125116899114
"OBSCN",433.733408085264,423.283575064303,337.855078123305,501.316148863938,406.649078205378,396.495462920491
"LOC101927401",0,0,0,0,2.11796394898635,9.01126052092025
"TRIM11",2365.09343443275,2288.23459530729,2210.45093713857,1955.13298056936,1659.4247540308,1605.0056238928
"TRIM17",19.9417658889776,28.4464768188376,37.1186072377622,17.7549469389311,18.0026935663839,25.0312792247785
"RNA5S9",7.97670635559106,0,0,0,2.11796394898635,0
"RHOU",0,0,1.51504519337805,0,0,0
"DUSP5P1",6.97961806114217,2.275718145507,0,2.08881728693307,0,0
"FTH1P2",0,0,0,0,1.05898197449317,0
"LINC02815",0,0,0,0,2.11796394898635,1.00125116899114
"LINC02814",3.98835317779553,0,0,0,0,0
"LOC102723935",0,0,3.0300903867561,0,0,0
"LOC105373159",41.877708366853,84.2015713837592,53.7841043649207,76.2418309730572,91.0724498064129,115.143884433981
"RAB4A",2072.94656415923,1922.98183295342,1805.93387050663,1822.49308284911,1763.20498753113,1557.94681895021
"CCSAP",342.998373290415,425.55929320981,363.610846410731,403.141736378083,487.13170826686,443.554267863074
"ACTA1",0,0,4.54513558013414,0,0,0
"NUP133",1330.11578479481,1693.13430025721,1458.98852122306,2010.48663867308,2356.23489324731,2118.64747358525
"LOC101927478",0,0,1.51504519337805,0,0,0
"ABCB10",1214.45354263874,1637.37920569229,1283.24327879121,1619.8778060166,1969.7064725573,1915.39348628005
"TAF5L",1442.78676206753,1894.53535613458,1828.6595484073,1343.10951549797,1645.65798836239,1643.05316831446
"URB2",1365.01387510052,1925.25755109893,1640.03642183174,1301.33316975931,1845.8055815416,1847.30840678865
"LOC100131918",1.99417658889776,0,0,0,0,0
"HMGB1P26",0,0,3.0300903867561,0,0,0
"LOC105373162",0,0,0,0,0,0
"LINC01682",0,0,0,0,0,0
"GALNT2",3341.2428746982,3892.61588788973,3706.55806559939,4543.17759907944,4502.79135554497,4769.96056907378
"PGBD5",436.72467296861,623.546771868919,593.140193207506,700.798199766046,758.231093737112,732.915855701513
